11 Plant-feeding nematode;1
31 Bacterivore nematode;1
45 Substrate-ingesting earthworm;1
23 Fungivore insect;1
24 Fungivore enchytraeid;1
21 Fungivore nematode;1
81 Omnivore nematode;2
13 Plant-feeding insect (springtail);1
44 Substrate-inhabiting enchytraeid;1
51 Predating nematode (consuming nematodes);3
72 Generalist mite;3
34 Bacterivore enchytraeid;1
82 Omnivore mite;2
12 Macrophytophage and panphytophage mite;1
36 Bacterivore amoebae;1
37 Bacterivore flagellates;1
#0 Plant autotrophs (roots);0
"41 ""Passive lifestage, substrate-related nematode""";1
48 Primary (heterotrophic) producer bacteria;0
49 Primary (heterotrophic) producer fungi;0
22 Microphytophage mite (feeding on fungi);1
62 Predatory mite (attacking arthropods);3
52 Predatory mite (attacking nematodes);3
92 Predatory mite (parasitizing mites and nematodes);3